Year,lat,lng,T2M_1,T2M_MAX_1,T2M_MIN_1,PS_1,PW_1
1999.000000,-40.750000,-63.250000,21.966129,29.019677,15.072258,100.784839,1.117742
1999.000000,-40.750000,-62.750000,20.990000,26.478710,15.820645,100.993226,1.117742
1999.000000,-40.750000,-62.250000,19.745806,23.072258,16.734194,101.163226,1.117742
1999.000000,-40.750000,-61.750000,18.575806,20.128065,17.230000,101.264194,1.117742
1999.000000,-40.750000,-61.250000,17.817097,18.883871,16.889032,101.291290,1.117742
1999.000000,-40.250000,-63.250000,22.990968,31.039032,15.053871,100.708387,1.117742
1999.000000,-40.250000,-62.750000,22.032903,28.775806,15.681290,100.940000,1.117742
1999.000000,-40.250000,-62.250000,20.738387,25.056129,16.795484,101.135806,1.117742
1999.000000,-40.250000,-61.750000,19.405161,21.269677,17.699355,101.255484,1.117742
1999.000000,-40.250000,-61.250000,18.493226,19.756774,17.384839,101.288710,1.117742
1999.000000,-39.750000,-63.250000,23.531935,31.900645,15.282258,100.638065,1.117742
1999.000000,-39.750000,-62.750000,22.724516,30.264516,15.618065,100.929355,1.117742
1999.000000,-39.750000,-62.250000,21.515806,26.697419,16.736774,101.133226,1.117742
1999.000000,-39.750000,-61.750000,20.160000,22.469355,17.994516,101.245161,1.117742
1999.000000,-39.750000,-61.250000,19.237419,20.771613,17.883226,101.282581,1.117742
1999.000000,-39.250000,-63.250000,23.911290,32.324516,15.606129,100.587419,1.117742
1999.000000,-39.250000,-62.750000,23.256774,31.117097,15.700645,100.897742,1.117742
1999.000000,-39.250000,-62.250000,22.297097,28.440645,16.411290,101.078710,1.117742
1999.000000,-39.250000,-61.750000,21.214516,25.202258,17.289355,101.138710,1.117742
1999.000000,-39.250000,-61.250000,20.483548,23.835806,17.180968,101.174516,1.117742
1999.000000,-38.750000,-63.250000,24.080000,32.309677,15.866774,100.371613,1.117742
1999.000000,-38.750000,-62.750000,23.405484,31.298387,15.641935,100.412903,1.117742
1999.000000,-38.750000,-62.250000,22.698710,29.969355,15.552581,100.310323,1.117742
1999.000000,-38.750000,-61.750000,22.029032,28.710323,15.405484,100.135806,1.117742
1999.000000,-38.750000,-61.250000,21.532258,28.179355,14.950645,100.157097,1.117742
1999.000000,-38.250000,-63.250000,23.780323,31.804839,15.693548,99.610645,1.117742
1999.000000,-38.250000,-62.750000,22.952258,31.006774,14.962258,99.221935,1.117742
1999.000000,-38.250000,-62.250000,22.163226,30.232903,14.219677,98.709355,1.117742
1999.000000,-38.250000,-61.750000,21.575484,29.710000,13.597742,98.364839,1.117742
1999.000000,-38.250000,-61.250000,21.538710,29.862258,13.413871,98.851935,1.117742
1999.000000,-37.750000,-63.250000,23.451935,31.346774,15.445161,99.128387,1.117742
1999.000000,-37.750000,-62.750000,22.518387,30.379677,14.590323,98.622581,1.117742
1999.000000,-37.750000,-62.250000,21.659677,29.560323,13.732258,98.108710,1.117742
1999.000000,-37.750000,-61.750000,21.175806,29.244194,13.148065,97.946774,1.117742
1999.000000,-37.750000,-61.250000,21.512581,29.881613,13.242258,98.692581,1.117742
1999.000000,-37.250000,-63.250000,23.524839,31.238065,15.622903,99.425161,1.117742
1999.000000,-37.250000,-62.750000,22.824839,30.473871,14.996452,99.258065,1.117742
1999.000000,-37.250000,-62.250000,22.161935,29.873871,14.293548,99.035484,1.117742
1999.000000,-37.250000,-61.750000,21.755161,29.664516,13.746452,98.943226,1.117742
1999.000000,-37.250000,-61.250000,21.842581,30.097097,13.616452,99.228387,1.117742
1999.000000,-36.750000,-63.250000,23.590968,31.196774,15.751290,99.706129,1.117742
1999.000000,-36.750000,-62.750000,23.167742,30.751613,15.359032,99.816452,1.117742
1999.000000,-36.750000,-62.250000,22.663226,30.266129,14.859677,99.803226,1.117742
