Year,T2M_1,WD2M_1,WS2M_1,PS_1,QV2M_1,PRECTOTCORR_1,ALLSKY_SFC_SW_DWN_1,EVPTRNS_1,GWETPROF_1,SNODP_1,T2MDEW_1,CLOUD_AMT_1,EVLAND_1,T2MWET_1,FRSNO_1,ALLSKY_SFC_LW_DWN_1,ALLSKY_SFC_PAR_TOT_1,ALLSKY_SRF_ALB_1,PW_1,Z0M_1,RHOA_1,RH2M_1,CDD18_3_1,HDD18_3_1,TO3_1,AOD_55_1,VAP_1,VPD_1,ET0_1
2005.000000,20.261290,193.707419,6.158065,100.981290,0.010654,1.305806,28.890645,0.032258,0.372258,0.000000,14.905161,34.010000,5.547419,17.582581,0.000000,349.919032,151.862903,0.126452,1.921613,0.000000,1.195806,71.802581,2.235484,0.103548,271.813226,0.116774,2.386586,2.384862,13.296848
2006.000000,23.215806,180.843226,4.396452,100.578065,0.006326,0.587097,29.100645,0.284194,0.253548,0.000000,6.408387,31.502903,11.274194,14.811935,0.000000,341.958065,149.672903,0.147419,1.681935,0.033871,1.183226,39.883548,4.920968,0.035161,272.930645,0.098387,2.877583,2.876557,13.481634
2007.000000,23.030968,151.068387,2.896129,99.622258,0.009805,3.500645,26.187742,3.934839,0.443548,0.000000,13.260645,52.016129,39.659677,18.145484,0.000000,381.880323,137.703871,0.177742,2.506452,0.070000,1.167419,58.015161,4.643548,0.043548,263.039032,0.158387,2.841381,2.839794,11.397400
2008.000000,25.399032,117.316774,2.814839,100.055161,0.009940,3.451613,24.117097,1.786452,0.488065,0.000000,13.019355,60.674516,32.100645,19.208710,0.000000,396.117097,128.538065,0.174839,2.713548,0.070000,1.163226,51.181935,7.031290,0.000000,266.386452,0.192258,3.289439,3.287831,11.462777
2009.000000,24.485161,143.797097,1.453226,99.845161,0.008846,2.621613,27.140645,2.535484,0.427419,0.000000,11.764839,47.717097,33.611935,18.123548,0.000000,379.259032,142.584516,0.171935,2.105806,0.729032,1.164194,50.033226,6.280323,0.001290,266.076129,0.139677,3.112482,3.111049,10.355256
2010.000000,24.442581,224.070323,4.109032,99.989032,0.008538,1.777419,28.737097,0.907419,0.490968,0.000000,10.978710,35.887097,33.004516,17.710645,0.000000,359.555484,148.908710,0.164194,1.903548,0.040000,1.166774,46.828710,6.206774,0.005806,275.882258,0.141613,3.110175,3.108792,13.615090
2011.000000,25.258710,134.472903,2.707742,99.794839,0.010570,4.983548,27.620323,3.690323,0.462258,0.000000,14.368065,50.929355,40.506774,19.815484,0.000000,399.582581,146.040323,0.169355,2.385484,0.107097,1.160323,54.848710,6.718710,0.000000,268.995484,0.115161,3.244434,3.242724,12.184724
2012.000000,24.497097,127.255161,3.088065,100.856452,0.009689,2.268710,27.275484,0.235161,0.623548,0.000000,13.088065,43.572581,24.555806,18.792258,0.000000,379.456452,142.735484,0.186452,2.401935,0.080000,1.179032,55.948065,6.560000,0.000968,259.305161,0.160645,3.111489,3.109921,12.266117
2013.000000,23.468387,130.805484,2.509677,100.299032,0.010710,1.134839,27.534839,7.951613,0.592581,0.000000,14.718710,45.867419,58.579032,19.093548,0.000000,388.314516,144.808387,0.175161,2.121290,0.070000,1.170000,61.056129,5.271290,0.124194,271.327097,0.122903,2.929441,2.927708,11.335238
2014.000000,18.460323,192.284194,6.120968,101.015161,0.010325,4.082258,28.909677,2.240000,0.377097,0.000000,14.348065,36.028387,27.502258,16.403226,0.000000,338.091613,151.415161,0.065484,1.944194,0.000000,1.201613,77.345484,0.888710,0.627097,272.373226,0.140645,2.135546,2.133875,12.428504
2015.000000,23.690323,118.085161,0.529677,99.503871,0.013207,4.493871,26.267742,5.687419,0.521613,0.000000,17.764516,56.621935,52.323871,20.727097,0.000000,394.777097,139.402903,0.161935,2.776774,1.528387,1.160323,72.904516,5.675161,0.048710,264.790645,0.180000,2.962407,2.960274,8.613664
2016.000000,20.936452,156.997419,5.458065,101.205484,0.011288,3.683871,26.580968,0.118710,0.420000,0.000000,15.811290,51.858387,21.276129,18.372903,0.000000,366.428065,141.662581,0.123871,2.479677,0.010000,1.194194,73.402581,2.835806,0.088065,272.660645,0.162903,2.489977,2.488152,12.804987
